State,burglary,Larceny,Motor theft,Assault,Murder,Rape,Robbery
Alabama,26079,92477,12577,18679,358,2068,3941
Alaska,3563,15114,2617,4360,69,1088,826
Arizona,28699,130788,18151,22704,365,3662,6410
Arkansas,18095,60735,7420,13513,242,2331,1557
California,152555,626802,141757,105541,1690,14799,52301
Colorado,20064,107012,22113,14185,218,3872,3663
Connecticut,6441,38457,5964,3742,104,771,1929
Delaware,2968,17359,1604,2967,48,310,790
District of Columbia,1843,26645,2333,4179,166,345,2713
Florida,63396,358402,39048,55475,1122,8456,16217
Georgia,39506,188967,23776,24633,654,2922,7961
Hawaii,5340,29634,5254,2098,48,765,1131
Idaho,3927,16295,1571,3001,35,809,155
Illinois,34433,180776,18775,32187,832,6078,12464
Indiana,21795,97176,13723,16783,377,2475,5331
Iowa,11710,37847,5142,6323,60,1164,863
Kansas,9984,50165,7279,9154,105,1416,1293
Kentucky,15443,59130,10196,5747,221,1572,2161
Louisiana,26918,109359,10716,18695,544,2273,4025
Maine,2350,13667,726,824,20,516,188
Maryland,16862,89780,11259,15798,542,1913,9203
Massachusetts,12341,62844,6132,16609,152,2204,3613
Michigan,28572,111980,17744,30545,556,7235,5350
Minnesota,15927,90092,11217,7618,117,2448,3149
Mississippi,18660,46300,5747,5493,332,747,1700
Missouri,26414,114460,21072,21936,568,2917,4959
Montana,2887,18176,2377,3472,27,624,205
Nebraska,4745,29719,4985,3731,45,1253,792
Nevada,15510,44755,11260,9620,143,2161,3286
New Hampshire,1717,13832,893,1138,33,590,313
New Jersey,16399,91902,10336,10852,262,1531,5730
New Mexico,14610,41702,8957,13640,181,1288,2341
New York,27600,226851,12704,44555,558,6583,18068
North Carolina,54447,174728,18061,27517,632,3247,7599
North Dakota,2608,10666,1792,1529,24,437,179
Ohio,43894,177725,18672,19154,538,5731,8846
Oklahoma,26577,72632,13378,12183,266,2268,2369
Oregon,14724,85261,15185,7825,116,1778,2276
Pennsylvania,23354,143921,12390,24465,669,4351,9743
Rhode Island,2321,12580,1358,1408,25,491,418
South Carolina,27461,108953,14975,20105,464,2460,3294
South Dakota,2646,11265,1756,2676,17,642,195
Tennessee,29869,132104,19180,31186,498,2813,6150
Texas,113902,501813,77489,76253,1409,14824,28988
United States,1117696,5086096,721885,821182,16425,139815,267988
Utah,8871,53937,6738,4534,72,1822,1125
Vermont,1275,7315,298,902,11,278,71
Virginia,13900,116044,10269,10987,426,2816,3524
Washington,34540,145282,24402,13700,198,3332,5147
West Virginia,5891,20066,2419,4464,78,754,378
Wisconsin,12667,65620,7385,11643,175,2261,2991
Wyoming,1396,6984,713,854,13,324,67